1,5,1,1,31,0,1067,21,53,998,48,1,4867,1,12,14,23,1,0,1,206,19,2,15,5000,1,1,2,3,5,5,0,1,1,4,1,1,1,1,2,1,3,1,1,2,2,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1
1,2,1,1,268,0,1340,6,31,225,48,1,4875,0,1,5,1,1,0,1,551,4,2,2,5000,1,2,1,5,6,4,0,0,1,1,1,1,1,1,1,0,1,1,1,1,2,0,1,0,1,1,1,1,0,0,20,1,1,1,1,0,1,1,1,1,1,0,0,1,1
1,2,1,1,42,0,1599,11,73,1097,52,1,4459,0,4,11,7,1,0,1,164,8,2,7,5000,1,1,2,1,3,3,0,0,1,2,1,1,1,2,1,0,1,1,1,1,2,0,1,0,1,1,1,1,0,0,20,1,2,1,2,0,1,1,2,1,1,0,0,1,1
1,2,1,1,129,0,570,13,27,843,72,1,4468,0,2,4,13,1,0,1,540,12,3,9,5000,1,1,1,4,1,1,0,0,1,1,0,1,1,1,1,0,3,1,1,1,2,0,1,0,2,3,3,1,0,0,23,1,1,2,1,0,1,1,1,1,1,0,0,1,1
1,1,1,1,495,0,466,9,10,122,62,1,3394,0,2,1,1,1,0,1,1224,1,1,2,5000,2,1,2,5,1,1,0,0,7,1,0,1,1,1,1,0,1,1,1,1,3,0,1,0,1,1,1,1,0,0,1,1,2,1,1,0,1,1,1,1,1,0,0,1,1
1,1,1,1,87,0,1035,10,31,877,40,0,3530,0,2,4,9,1,0,1,268,13,3,13,5000,1,1,2,6,3,4,0,0,4,3,0,1,1,1,1,0,1,1,1,1,2,0,75,0,1,1,1,0,0,0,217,1,1,3,1,0,1,2,1,1,1,0,0,1,1
1,8,1,1,472,0,806,8,30,479,30,0,2535,0,3,4,5,1,0,1,1037,4,4,4,5000,1,1,1,8,2,1,0,0,4,1,0,1,1,1,84,0,1,2,1,1,1,0,69,0,1,1,2,0,0,0,81,1,2,2,1,0,1,1,1,1,1,0,0,1,1
2,1,1,1,66,0,337,3,25,3316,21,0,1558,0,1,14,11,1,0,1,219,3,4,5,5000,1,1,1,2,3,4,0,0,1,15,0,1,1,1,42,0,1,1,1,1,1,0,40,0,1,1,1,0,0,0,10,1,2,3,1,0,1,1,1,1,1,0,0,1,1
1,3,1,1,2262,0,414,220,146,133,483,0,650,0,18,14,22,1,0,1,3234,51,2,34,5000,1,1,1,53,8,9,0,0,1,4,0,1,1,1,70,0,1,1,1,2,1,0,135,0,1,1,6,0,0,0,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1
1,3,1,1,3319,0,134,24,10,381,94,0,495,0,1,1,6,1,0,1,4880,3,10,5,5000,1,1,3,71,3,1,0,0,1,2,0,1,1,1,246,0,1,1,3,2,2,0,714,0,1,1,5,0,0,0,138,1,1,3,1,0,0,1,1,1,1,0,0,1,1
